Date/Time (AEST),Hs (m),Hmax (m),Tz (s),Tp (s),Peak Direction (degrees),SST (degrees C)
2022-01-04T19:30,1.166,2.121,5.068,9.249,94,25.1
2022-01-04T20:00,1.194,2.21,5.067,9.605,95,25.1
2022-01-04T20:30,1.231,2.03,5.028,10.774,92,25.15
2022-01-04T21:00,1.325,2.19,5.294,10.131,80,25.1
2022-01-04T21:30,1.285,1.83,5.079,10.702,91,25.1
2022-01-04T22:00,1.257,2.1,5.126,8.916,92,25.05
2022-01-04T22:30,1.256,1.87,5.04,10.377,92,25.05
2022-01-04T23:00,1.297,2.02,4.927,9.937,88,25.05
2022-01-04T23:30,1.357,2.15,4.894,9.938,90,25.05
2022-01-05T00:00,1.355,1.92,5.062,10.15,78,25.05
2022-01-05T00:30,1.343,2,5.104,10.164,94,25.05
2022-01-05T01:00,1.299,1.95,5.011,10.564,88,25.05
2022-01-05T01:30,1.317,2.11,4.857,10.237,91,25.05
2022-01-05T02:00,1.346,2.27,4.667,9.793,102,25
2022-01-05T02:30,1.443,2.45,5.082,9.82,77,25
2022-01-05T03:00,1.425,2.54,4.902,10.077,87,25
2022-01-05T03:30,1.32,2.35,4.86,9.771,91,24.95
2022-01-05T04:00,1.262,2.419,4.67,9.72,83,24.95
2022-01-05T04:30,1.221,2.1,4.684,9.651,84,24.95
2022-01-05T05:00,1.281,2.48,4.889,9.769,84,24.95
2022-01-05T05:30,1.341,2.05,5.072,9.759,84,24.95
2022-01-05T06:00,1.139,1.89,5.056,9.775,84,25
2022-01-05T06:30,1.065,2.01,4.77,9.349,90,25
2022-01-05T07:00,1.16,2.08,5.137,9.741,92,24.85
2022-01-05T07:30,1.035,2.02,5.078,9.299,85,24.9
2022-01-05T08:00,1.103,1.91,5.249,9.591,91,24.9
2022-01-05T08:30,1.246,2.17,5.328,9.123,87,24.95
2022-01-05T09:00,1.2,2.06,5.398,9.34,90,25
2022-01-05T09:30,1.197,1.82,5.564,9.359,90,25
2022-01-05T10:00,1.232,1.95,5.396,8.882,90,25.05
2022-01-05T10:30,1.207,1.94,5.159,9,87,25.1
2022-01-05T11:00,1.321,2.19,5.317,9.293,90,25.15
2022-01-05T11:30,1.439,2.62,5.545,9.344,84,25.2
2022-01-05T12:00,1.356,1.973,5.404,8.538,81,25.2
2022-01-05T12:30,1.532,2.22,5.92,9.25,83,25.25
2022-01-05T13:00,1.415,2.28,5.423,9.472,77,25.3
2022-01-05T13:30,1.329,2.26,5.207,8.225,81,25.25
2022-01-05T14:00,1.607,2.56,5.474,8.918,81,25.3
2022-01-05T14:30,1.608,2.66,5.561,9.202,84,25.35
2022-01-05T15:00,1.585,2.833,5.267,9.032,81,25.3
2022-01-05T15:30,1.563,2.577,5.365,9.268,85,25.35
2022-01-05T16:00,1.576,2.54,5.326,7.552,84,25.35
2022-01-05T16:30,1.584,2.73,5.655,9.242,90,25.3
2022-01-05T17:00,1.566,2.49,5.33,9.287,85,25.35
2022-01-05T17:30,1.614,2.61,5.504,8.583,84,25.35
2022-01-05T18:00,1.455,2.33,5.304,9.703,88,25.35
2022-01-05T18:30,1.439,2.47,5.096,7.942,94,25.3
2022-01-05T19:00,1.438,2.72,5.109,8.513,95,25.3
2022-01-05T19:30,1.346,2.19,5.256,8.619,87,25.25
2022-01-05T20:00,1.45,2.53,5.575,7.823,91,25.2
2022-01-05T20:30,1.441,2.33,5.62,8.516,91,25.4
2022-01-05T21:00,1.449,2.37,5.52,7.869,91,25.4
2022-01-05T21:30,1.41,2.9,5.581,6.866,90,25.35
2022-01-05T22:00,1.558,2.51,6.024,8.258,94,25.3
2022-01-05T22:30,1.646,2.95,5.697,8.891,88,25.3
2022-01-05T23:00,1.639,2.8,5.534,7.844,80,25.3
2022-01-05T23:30,1.646,3.3,5.711,8.15,90,25.3
2022-01-06T00:00,1.742,2.82,5.692,7.008,84,25.3
2022-01-06T00:30,1.685,3.047,5.128,7.631,85,25.3
2022-01-06T01:00,1.909,2.78,5.382,7.284,87,25.3
2022-01-06T01:30,1.786,3.36,5.332,7.85,90,25.3
2022-01-06T02:00,1.796,2.78,5.255,7.256,95,25.3
2022-01-06T02:30,1.755,2.85,5.548,7.001,95,25.25
2022-01-06T03:00,1.898,3.357,5.282,7.748,94,25.25
2022-01-06T03:30,1.807,2.77,5.341,6.627,98,25.25
2022-01-06T04:00,1.767,3.22,5.298,7.53,95,25.25
2022-01-06T04:30,1.949,4,5.715,8.233,92,25.25
2022-01-06T05:00,1.91,4.255,5.511,6.575,95,25.25
2022-01-06T05:30,1.789,3.28,5.513,7.967,88,25.25
2022-01-06T06:00,1.848,2.96,5.443,7.31,95,25.25
2022-01-06T06:30,1.796,2.84,5.559,8.436,95,25.25
2022-01-06T07:00,1.748,3.15,5.652,8.921,92,25.3
2022-01-06T07:30,1.959,3.197,5.776,8.153,90,25.3
2022-01-06T08:00,1.978,3.35,6.231,7.602,85,25.3
2022-01-06T08:30,2.176,3.46,6.377,8.155,92,25.3
2022-01-06T09:00,2.12,3.36,6.184,8.492,92,25.25
2022-01-06T09:30,1.984,2.82,5.97,7.911,87,25.3
2022-01-06T10:00,2.076,3.93,5.939,9.436,84,25.3
2022-01-06T10:30,2.076,3.93,5.939,9.436,85,25.3
2022-01-06T11:00,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2022-01-06T11:30,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2022-01-06T12:00,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2022-01-06T12:30,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2022-01-06T13:00,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2022-01-06T13:30,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2022-01-06T14:00,2.146,3.592,6.069,8.516,78,25.3
2022-01-06T14:30,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2022-01-06T15:00,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2022-01-06T15:30,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2022-01-06T16:00,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2022-01-06T16:30,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2022-01-06T17:00,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2022-01-06T17:30,1.946,3.2,5.835,9.018,-99.9,-99.9
2022-01-06T18:00,1.933,2.98,5.745,9.311,-99.9,-99.9
2022-01-06T18:30,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2022-01-06T19:00,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2022-01-06T19:30,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2022-01-06T20:00,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2022-01-06T20:30,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2022-01-06T21:00,1.893,2.98,5.858,7.506,-99.9,-99.9
2022-01-06T21:30,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2022-01-06T22:00,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2022-01-06T22:30,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2022-01-06T23:00,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2022-01-06T23:30,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2022-01-07T00:00,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2022-01-07T00:30,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2022-01-07T01:00,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2022-01-07T01:30,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2022-01-07T02:00,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2022-01-07T02:30,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2022-01-07T03:00,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2022-01-07T03:30,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2022-01-07T04:00,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2022-01-07T04:30,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2022-01-07T05:00,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2022-01-07T05:30,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2022-01-07T06:00,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2022-01-07T06:30,2.172,3.26,5.722,8.494,75,25.4
2022-01-07T07:00,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2022-01-07T07:30,2.153,3.77,5.803,7.565,78,25.35
2022-01-07T08:00,2.25,3.69,5.909,7.623,73,25.35
2022-01-07T08:30,2.074,3.32,5.919,8.208,73,25.35
2022-01-07T09:00,2.18,3.94,5.743,8.127,74,25.35
2022-01-07T09:30,2.161,4.11,5.71,8.066,80,25.3
2022-01-07T10:00,2.075,3.75,5.596,7.616,75,25.3
2022-01-07T10:30,2.197,3.46,5.629,7.542,75,25.3
2022-01-07T11:00,2.256,3.69,5.924,7.786,74,25.3
2022-01-07T11:30,2.123,3.629,5.826,8.426,67,25.3
2022-01-07T12:00,2.391,3.68,6.185,8.126,80,25.3
2022-01-07T12:30,2.193,3.44,5.766,8.473,73,25.3
2022-01-07T13:00,2.284,4.23,6.036,8.165,67,25.3
2022-01-07T13:30,2.391,4.05,5.915,8.05,67,25.35
2022-01-07T14:00,2.249,3.93,5.789,8.376,64,25.35
2022-01-07T14:30,2.258,3.54,5.735,8.136,70,25.35
2022-01-07T15:00,2.162,3.63,6.028,8.451,74,25.35
2022-01-07T15:30,2.174,3.56,5.692,7.299,73,25.35
2022-01-07T16:00,2.251,3.72,5.576,7.566,73,25.35
2022-01-07T16:30,2.183,4.088,5.88,8.495,84,25.35
2022-01-07T17:00,2.171,3.134,5.804,7.807,74,25.35
2022-01-07T17:30,2.086,4.34,5.533,8.461,70,25.35
2022-01-07T18:00,2.091,3.37,5.7,7.739,73,25.35
2022-01-07T18:30,2.052,3.682,5.45,8.112,84,25.45
2022-01-07T19:00,2.083,3.51,5.68,7.595,85,25.4
2022-01-07T19:30,1.983,3.1,5.453,7.532,80,25.4
2022-01-07T20:00,1.996,3.52,5.682,8.213,77,25.4
